timecost:0.35, lr:0.00047073689821473173, epoch:72, train_loss:3.0598, train_acc:45.83
timecost:0.36, lr:0.00046935634948864547, epoch:73, train_loss:2.3033, train_acc:50.64
timecost:0.35, lr:0.00046794610342419066, epoch:74, train_loss:1.6241, train_acc:58.40
timecost:0.35, lr:0.00046650635094610973, epoch:75, train_loss:3.0575, train_acc:46.86
timecost:0.36, lr:0.0004650372869738414, epoch:76, train_loss:0.7295, train_acc:80.38
timecost:0.35, lr:0.0004635391103951314, epoch:77, train_loss:4.3390, train_acc:21.92
timecost:0.36, lr:0.00046201202403910646, epoch:78, train_loss:2.0081, train_acc:56.15
timecost:0.35, lr:0.00046045623464881436, epoch:79, train_loss:3.2179, train_acc:28.14
timecost:0.36, lr:0.0004588719528532341, epoch:80, train_loss:1.8596, train_acc:54.10
timecost:0.35, lr:0.00045725939313876043, epoch:81, train_loss:1.4265, train_acc:61.60
timecost:0.36, lr:0.0004556187738201656, epoch:82, train_loss:3.8421, train_acc:28.53
timecost:0.35, lr:0.00045395031701104307, epoch:83, train_loss:2.8085, train_acc:46.09
timecost:0.36, lr:0.0004522542485937369, epoch:84, train_loss:2.6711, train_acc:41.03
timecost:0.35, lr:0.00045053079818876095, epoch:85, train_loss:1.9882, train_acc:60.77
timecost:0.35, lr:0.00044878019912371195, epoch:86, train_loss:1.5573, train_acc:55.71
timecost:0.35, lr:0.0004470026884016805, epoch:87, train_loss:0.9795, train_acc:67.12
timecost:0.36, lr:0.00044519850666916485, epoch:88, train_loss:2.1645, train_acc:43.72
timecost:0.35, lr:0.000443367898183491, epoch:89, train_loss:1.4706, train_acc:62.18
timecost:0.35, lr:0.0004415111107797445, epoch:90, train_loss:3.4808, train_acc:31.03
timecost:0.35, lr:0.00043962839583721724, epoch:91, train_loss:1.4871, train_acc:61.79
timecost:0.35, lr:0.0004377200082453748, epoch:92, train_loss:0.6986, train_acc:79.29
timecost:0.35, lr:0.00043578620636934855, epoch:93, train_loss:0.4018, train_acc:89.74
timecost:0.35, lr:0.0004338272520149572, epoch:94, train_loss:5.0022, train_acc:11.99
timecost:0.36, lr:0.0004318434103932622, epoch:95, train_loss:0.2288, train_acc:93.40
timecost:0.35, lr:0.0004298349500846628, epoch:96, train_loss:2.0412, train_acc:60.19
timecost:0.36, lr:0.00042780214300253426, epoch:97, train_loss:0.7134, train_acc:80.19
timecost:0.35, lr:0.0004257452643564155, epoch:98, train_loss:0.7952, train_acc:77.63
timecost:0.35, lr:0.00042366459261474935, epoch:99, train_loss:1.5912, train_acc:58.14
timecost:0.35, lr:0.00042156040946718344, epoch:100, train_loss:0.1313, train_acc:94.81
timecost:0.35, lr:0.0004194329997864331, epoch:101, train_loss:1.1121, train_acc:70.90
timecost:0.35, lr:0.0004172826515897146, epoch:102, train_loss:2.7754, train_acc:36.73
timecost:0.35, lr:0.0004151096559997519, epoch:103, train_loss:0.1199, train_acc:96.35
